Property Group,Property,Purchase Price (LKR),Base Rent (LKR)
Brown,Pettah,1500,100
Brown,Maradana,1800,120
Light Blue,Bambalapitiya,2500,180
Light Blue,Wellawatte,2700,200
Light Blue,Mount Lavinia,3000,220
Pink,Nugegoda,3500,260
Pink,Maharagama,3800,280
Pink,Kottawa,4000,300
Orange,Negombo,4500,350
Orange,Katunayake,4700,370
Orange,Ja-Ela,5000,400
Red,Kandy City,5500,450
Red,Peradeniya,5800,480
Red,Katugastota,6000,500
Yellow,Galle Fort,6500,600
Yellow,Unawatuna,6800,620
Yellow,Hikkaduwa,7000,650
Green,Jaffna Town,8000,750
Green,Nallur,8300,780
Green,Trincomalee,8500,800
Dark Blue,Nuwara Eliya,10000,1000
Dark Blue,Galle Face,12000,1200
